t,S,I,R,Re
31.9,232.55175302267605,45.25460265446283,722.1936443228615,0.46510350604535194
32.0,232.02555116369405,44.64943944708326,723.325009389223,0.46405110232738794
32.1,231.50756062385108,44.05119400074915,724.4412453754002,0.46301512124770194
32.2,230.997651400567,43.45982337401449,725.5425252254189,0.4619953028011338
32.3,230.49569554408296,42.87528364614817,726.6290208097693,0.4609913910881657
32.4,230.00156712779952,42.2975299712779,727.700902900923,0.4600031342555988
32.5,229.51514221884807,41.72651663094741,728.758341150205,0.45903028443769595
32.6,229.03629884890563,41.162197085116176,729.8015040659786,0.45807259769781106
32.7,228.5649169852624,40.604524021631484,730.8305589931066,0.45712983397052465
32.8,228.1008785021509,40.05344940420221,731.8456720936474,0.4562017570043016
32.9,227.6440671523439,39.50892451890415,732.8470083287525,0.4552881343046875
33.0,227.19436853902897,38.970900019246464,733.8347314417251,0.45438873707805766
33.1,226.75167008796546,38.43932596982882,734.8090039422062,0.45350334017593075
33.2,226.31586101992974,37.91415188861882,735.769987091452,0.45263172203985924
33.3,225.8868323234541,37.39532678787901,736.7178408886674,0.451773664646908
33.4,225.46447672786337,36.88279921377275,737.6527240583644,0.45092895345572653
33.5,225.04868867661378,36.37651728467804,738.5747940387087,0.45009737735322736
33.6,224.63936430093682,35.87642872823803,739.4842069708257,0.44927872860187346
33.7,224.23640139379185,35.38248091717704,740.3811176890316,0.4484728027875835
33.8,223.83969938412923,34.89462090391023,741.2656797119611,0.44767939876825824
33.9,223.4491593114665,34.41279545397519,742.1380452345588,0.4468983186229328
34.0,223.06468380077908,33.93695107831322,742.9983651209083,0.4461293676015579
34.1,222.68617703770676,33.467034064427715,743.8467888978661,0.44537235407541326
34.2,222.31354474407686,33.00299050644693,744.6834647494768,0.4446270894881535
34.3,221.9466941537447,32.544766334117924,745.508539512138,0.44389338830748915
34.4,221.5855339887515,32.092307340758154,746.3221586704909,0.4431710679775028
34.5,221.22997443579985,31.64555921019085,747.1244663540099,0.44245994887159945
34.6,220.879927123046,31.204467542689933,747.9156053342647,0.4417598542460917
34.7,220.53530509720886,30.768977879959824,748.6957170228319,0.44107061019441746
34.8,220.19602280099454,30.339035729175137,749.4649414698309,0.4403920456019888
34.9,219.86199605083547,29.91458658610484,750.2234173630603,0.4397239921016706
35.0,219.53314201494265,29.495575957345046,750.971282027713,0.439066284029885
35.1,219.20937919166983,29.08194938168424,751.7086714266466,0.4384187583833393
35.2,218.8906273881877,28.67365245062426,752.4357201611887,0.43778125477637514
35.3,218.57680769946631,28.27063082808005,753.1525614724543,0.4371536153989323
35.4,218.2678424875637,27.872830269280644,753.8593272431563,0.4365356849751271
35.5,217.96365536121883,27.480196638893524,754.5561479998883,0.4359273107224374
35.6,217.66417115574592,27.0926759283941,755.2431529158606,0.43532834231149153
35.7,217.36931591322866,26.710214272701506,755.9204698140704,0.43473863182645706
35.8,217.07901686301102,26.332757966101614,756.588225170888,0.43415803372602174
35.9,216.79320240248236,25.96025347747772,757.2465441200405,0.4335864048049644
36.0,216.51180207815423,25.592647464868907,757.8955504569775,0.4330236041563082
36.1,216.23474656702575,25.22988678937567,758.5353666435992,0.4324694931340512
36.2,215.96196765823498,24.871918528432047,759.1661138133336,0.43192393531646966
36.3,215.6933982349932,24.51868998846302,759.7879117765444,0.4313867964699861
36.4,215.4289722567991,24.17014871694554,760.400879026256,0.43085794451359793
36.5,215.16862474192985,23.82624251389118,761.0051327441796,0.4303372494838594
36.6,214.91229175020575,23.486919442767984,761.6007888070269,0.4298245835004112
36.7,214.65991036602585,23.15212784087867,762.1879617930961,0.42931982073205144
36.8,214.41141868167057,22.82181632921199,762.7667649891181,0.42882283736334087
36.9,214.1667557808686,22.495933821783634,763.3373103973483,0.428333511561737
37.0,213.925861722625,22.17442953448267,763.8997087428929,0.42785172344524974
37.1,213.68867752530642,21.857252993439193,764.454069481255,0.42737735505061253
37.2,213.45514515098122,21.544354042928415,765.000500806091,0.42691029030196215
37.3,213.22520749001035,21.235682852826073,765.5391096571643,0.4264504149800204
37.4,212.99880834588606,20.931189925629717,766.070001728485,0.42599761669177183
37.5,212.77589242031505,20.630826103060002,766.5932814766257,0.4255517848406298
37.6,212.5564052985427,20.33454257225585,767.1090521292023,0.42511281059708506
37.7,212.34029343491525,20.042290871576895,767.6174156935086,0.4246805868698302
37.8,212.12750413867633,19.754022896026402,768.1184729652981,0.4242550082773523
37.9,211.91798555999472,19.46969090230736,768.6123235376988,0.42383597111998905
